Date,SPY
2000-01-03,91.6170425415039
2000-01-04,88.03426361083984
2000-01-05,88.19173431396484
2000-01-06,86.77436828613281
2000-01-07,91.81393432617188
2000-01-10,92.12893676757812
2000-01-11,91.02648162841797
2000-01-12,90.12096405029297
2000-01-13,91.34147644042969
2000-01-14,92.58167266845703
2000-01-18,91.85324096679688
2000-01-19,92.60132598876953
2000-01-20,91.18395233154297
2000-01-21,90.98711395263672
2000-01-24,88.40826416015625
2000-01-25,89.41228485107422
2000-01-26,88.70355224609375
2000-01-27,88.34925842285156
2000-01-28,85.59324645996094
2000-01-31,87.91616821289062
2000-02-01,88.7823257446289
2000-02-02,88.8610610961914
2000-02-03,90.1996841430664
2000-02-04,89.82566833496094
2000-02-07,89.68785858154297
2000-02-08,90.90837860107422
2000-02-09,88.99884796142578
2000-02-10,89.17605590820312
2000-02-11,87.36494445800781
2000-02-14,87.87675476074219
2000-02-15,88.87091064453125
2000-02-16,87.56179809570312
2000-02-17,87.10903930664062
2000-02-18,85.2388916015625
2000-02-22,85.02238464355469
2000-02-23,86.02629852294922
2000-02-24,84.2939682006836
2000-02-25,83.98886108398438
2000-02-28,85.750732421875
2000-02-29,86.57756805419922
2000-03-01,87.20748901367188
2000-03-02,87.26654052734375
2000-03-03,88.90044403076172
2000-03-06,88.03426361083984
2000-03-07,86.33145904541016
2000-03-08,86.2231674194336
2000-03-09,88.74295806884766
2000-03-10,88.2704849243164
2000-03-13,87.305908203125
2000-03-14,86.06568908691406
2000-03-15,88.07364654541016
2000-03-16,92.18791961669922
2000-03-17,92.79724884033203
2000-03-20,92.32357025146484
2000-03-21,94.21818542480469
2000-03-22,94.79049682617188
2000-03-23,96.40887451171875
2000-03-24,96.98115539550781
2000-03-27,95.95489501953125
2000-03-28,95.40235900878906
2000-03-29,95.50100708007812
2000-03-30,93.90245056152344
2000-03-31,94.9681625366211
2000-04-03,95.5207290649414
2000-04-04,94.81026458740234
2000-04-05,94.21818542480469
2000-04-06,95.03723907470703
